pd_location,signal_width,rise_time,fall_time,peak_voltage,polarity,abs(mean),rms,sd,NewSkewness,kurtosis,crest,abs(formFactor),MainFreq,phase_angle,T,W,pC,pd_class
1084087,24,10,14,3.851635,-1,2.45028,2.756545,1.288842,0.4402501,1.831044,1.397269,1.124992,0,195.1357,38.19219,2.998972,122514,31
1234910,27,14,13,4.742892,-1,2.780087,3.18435,1.581298,0.2497555,1.737107,1.489438,1.145414,0,222.2838,41.00155,2.392987,155684.9,31
256416,27,10,17,4.142003,1,2.50319,2.853441,1.394868,0.3315882,1.741783,1.451582,1.139922,0,46.15488,38.96853,2.385678,140178.6,31
1121879,26,12,14,4.292865,-1,2.515985,2.867815,1.402511,0.2895589,1.804394,1.496911,1.139838,0,201.9382,36.72414,2.881643,135863.2,31
1267039,25,10,15,4.225416,-1,2.62668,2.960664,1.393099,0.3080165,1.788397,1.427185,1.12715,0,228.067,39.66385,2.760838,136587.4,31
241677,27,12,15,4.115541,1,2.419048,2.75283,1.337989,0.2689345,1.731688,1.495022,1.137981,0,43.50186,40.09821,2.320516,135466.7,31
1168194,24,11,13,5.008182,-1,3.080937,3.488662,1.670389,0.3866532,1.791103,1.43556,1.132338,0,210.2749,35.20929,3.085441,154046.9,31
1331878,25,11,14,4.819897,-1,2.856191,3.270241,1.624228,0.3336333,1.753526,1.473866,1.144966,0,239.738,38.84675,2.925682,148521.9,31
249641,26,12,14,5.690734,1,3.395089,3.846378,1.842194,0.3224459,1.773812,1.479505,1.132924,0,44.93538,40.41682,2.51779,183334.8,31
1133586,26,12,14,4.778256,-1,2.805322,3.192021,1.551889,0.3040281,1.812481,1.496938,1.137844,0,204.0455,39.66613,2.743626,151487.4,31
1271216,23,11,12,4.188476,-1,2.645022,2.967378,1.373992,0.4693337,1.859244,1.411507,1.121873,0,228.8189,36.54015,3.379066,126961,31
252981,27,13,14,4.536833,1,2.680846,3.071568,1.526708,0.3101666,1.757441,1.477041,1.145746,0,45.53658,39.7754,2.462697,150127.4,31
1155765,27,12,15,5.09078,-1,2.924592,3.3598,1.684135,0.2598416,1.739568,1.515203,1.14881,0,208.0377,39.78966,2.479675,163777.2,31
261186,28,11,17,5.582271,1,3.164946,3.637232,1.82409,0.2243974,1.760497,1.534758,1.149224,0,47.01348,39.61321,2.386213,183566.9,31
1158369,25,10,15,5.25906,-1,3.108721,3.560033,1.769201,0.3445664,1.744322,1.477251,1.145176,0,208.5064,36.30535,2.906944,161653.5,31
1282461,25,11,14,3.979855,-1,2.459241,2.772888,1.306401,0.3976999,1.783961,1.435274,1.127538,0,230.843,38.47536,2.677553,127880.5,31
321276,25,12,13,5.123899,1,3.086059,3.497956,1.679407,0.3539371,1.777523,1.464827,1.13347,0,57.82968,38.39563,2.749766,160475.1,31
1104308,24,10,14,4.346985,-1,2.567836,2.941411,1.464197,0.3202183,1.716805,1.477857,1.145482,0,198.7754,35.25282,3.146901,128391.8,31
1261941,26,12,14,5.007731,-1,2.98748,3.380256,1.611611,0.3025166,1.756803,1.481465,1.131474,0,227.1494,40.20287,2.464916,161323.9,31
370757,26,10,16,5.07633,1,3.036354,3.461821,1.694431,0.3346262,1.757802,1.466376,1.140124,0,66.73626,38.24243,2.608402,163963.1,31
