"pd_location","signal_width","rise_time","fall_time","peak_voltage","polarity","mean","rms","sd","Skewness","kurtosis","crest","formFactor","MainFreq","phase_angle","T","W","pC","pd_class"
955046,17,8,9,0.003533322,1,0.001993342,0.002300683,0.001182101,0.2642985,1.742581,1.53577,1.154184,0,171.9083,28.41392,7.181782,71.7603,"1"
993659,16,6,10,0.002730151,1,0.00167862,0.001915188,0.00095043,0.4494017,1.747672,1.425526,1.14093,0,178.8586,24.01352,7.94872,57.07308,"1"
1262333,16,6,10,0.005346378,1,0.003221553,0.003737901,0.001953994,0.4150815,1.695933,1.430315,1.160279,0,227.2199,24.70466,8.415062,109.5328,"1"
232965,17,7,10,0.003080514,-1,0.001833077,0.002124149,0.001104352,0.4045092,1.674385,1.450234,1.158789,0,41.9337,25.1789,7.407748,65.99076,"1"
987696,17,7,10,0.00352362,1,0.002091921,0.002377879,0.001163341,0.3252426,1.778465,1.481833,1.136696,0,177.7853,25.2094,6.721152,75.30914,"1"
1208207,16,6,10,0.0017301,1,0.001107518,0.001239732,0.000574226,0.5790144,2.014501,1.395544,1.119378,0,217.4773,26.05071,7.423051,37.65562,"1"
1109039,17,7,10,0.001920557,1,0.001097484,0.001291641,0.000700822,0.3731357,1.680156,1.486913,1.176911,0,199.627,26.49728,7.969137,39.50941,"1"
964924,17,7,10,0.002946447,1,0.001716138,0.001968739,0.000992752,0.2919534,1.749566,1.496617,1.147191,0,173.6863,27.11809,6.654175,61.78096,"1"
195039,16,5,11,0.004310604,-1,0.002915914,0.003326465,0.001650149,0.594025,1.869318,1.295851,1.140797,0,35.10702,25.691,8.231512,99.14107,"1"
392436,18,6,12,0.002762971,-1,0.001626227,0.001890139,0.000989732,0.2805973,1.720009,1.461781,1.162285,0,70.63848,27.15026,6.30039,61.79662,"1"
528383,15,7,8,0.0048812,-1,0.00310336,0.003534526,0.001747237,0.5245227,1.831464,1.381005,1.138935,0,95.10894,22.7417,8.225149,99.30751,"1"
1118591,15,7,8,0.00208871,1,0.001254856,0.001440946,0.00073151,0.4238575,1.754906,1.44954,1.148296,0,201.3464,23.99552,8.032876,40.1554,"1"
1242368,15,7,8,0.002440657,1,0.00151777,0.001721259,0.00083848,0.5177771,1.907031,1.417949,1.134071,0,223.6262,24.1921,7.987228,48.56864,"1"
1237879,18,10,8,0.002111274,1,0.001305701,0.001488014,0.00073323,0.2348485,1.796624,1.418854,1.139628,0,222.8182,28.21814,5.930946,49.61663,"1"
189475,16,7,9,0.003250355,-1,0.002050494,0.002347117,0.001177268,0.4657385,1.667941,1.384829,1.144659,0,34.1055,23.64038,9.005086,69.71681,"1"
1019320,16,7,9,0.003194844,1,0.001863084,0.00214427,0.001094182,0.2581904,1.720465,1.489945,1.150925,0,183.4776,23.74887,7.851117,63.34487,"1"
1364193,15,6,9,0.006301594,1,0.00396731,0.004450535,0.002083001,0.5242705,1.949269,1.415918,1.121802,0,245.5547,23.7546,7.558059,126.9539,"1"
1185189,16,7,9,0.003227577,1,0.001906527,0.002212085,0.001156344,0.3577883,1.730254,1.459065,1.16027,0,213.334,23.77034,8.477492,64.82191,"1"
157087,15,6,9,0.01042871,-1,0.006282911,0.007172939,0.003574143,0.3813322,1.757553,1.453896,1.141659,0,28.27566,24.10265,7.844237,201.0531,"1"
976602,16,7,9,0.003522323,1,0.002163744,0.002474074,0.001236611,0.4652446,1.757429,1.423693,1.143423,0,175.7884,25.08776,7.891217,73.56731,"1"
961605,16,7,9,0.00327297,1,0.00201765,0.002267321,0.001066161,0.4327582,1.885993,1.443541,1.123744,0,173.0889,25.18849,7.292853,68.60008,"1"
1254388,17,8,9,0.004244532,1,0.002440126,0.002832051,0.001479137,0.2472822,1.765944,1.498749,1.160617,0,225.7898,25.60304,7.413049,87.84452,"1"
409711,17,8,9,0.004295273,-1,0.002424509,0.002831013,0.001504015,0.2563427,1.63536,1.517221,1.167665,0,73.74798,26.8143,7.048117,87.28233,"1"
97088,17,8,9,0.007218303,-1,0.003911276,0.004597673,0.002486782,0.1457932,1.635068,1.56999,1.175492,0,17.47584,27.19708,7.207705,140.8059,"1"
102691,16,6,10,0.007224205,-1,0.004259072,0.004905478,0.002508839,0.3028046,1.66333,1.472681,1.151772,0,18.48438,23.99455,7.835545,144.8085,"1"
1300402,16,6,10,0.004504871,1,0.00273652,0.00318143,0.001672577,0.4211719,1.670814,1.41599,1.162582,0,234.0724,24.53215,8.882783,93.04167,"1"
1115573,16,6,10,0.002059195,1,0.001272542,0.001462445,0.000742861,0.395325,1.728766,1.40805,1.149231,0,200.8031,24.97364,7.732511,43.26644,"1"
245688,17,7,10,0.00225121,-1,0.001332379,0.001534492,0.000783274,0.3746371,1.706008,1.467072,1.151694,0,44.22384,25.41159,6.941478,47.96563,"1"
1123259,17,7,10,0.004962147,1,0.002703458,0.00317483,0.001712848,0.2086492,1.694155,1.562965,1.174359,0,202.1866,25.50726,7.494691,97.32449,"1"
1015096,16,5,11,0.003988925,1,0.002318618,0.002728669,0.001482902,0.404426,1.678838,1.461858,1.176851,0,182.7173,23.67954,10.24775,78.833,"1"
1078028,17,6,11,0.004125532,1,0.002359233,0.002777236,0.001507765,0.2906546,1.62936,1.485481,1.177177,0,194.045,25.00962,7.801635,84.93238,"1"
381122,18,6,12,0.002592953,-1,0.001609074,0.001834227,0.000904622,0.407647,1.830226,1.413649,1.139927,0,68.60196,27.43277,5.923867,61.1448,"1"
188490,19,7,12,0.001590539,-1,0.000969726,0.001108135,0.000550211,0.421967,1.732395,1.435329,1.14273,0,33.9282,28.38734,5.454975,38.78904,"1"
104431,15,7,8,0.008037106,-1,0.004612184,0.005346434,0.002792774,0.2813117,1.713722,1.503265,1.159198,0,18.79758,22.96422,8.298826,147.5899,"1"
957298,15,7,8,0.003246861,1,0.002038446,0.002357931,0.001224015,0.5449897,1.798834,1.376996,1.156729,0,172.3136,23.30885,9.872367,65.23029,"1"
955364,15,7,8,0.003179238,1,0.002048652,0.002336779,0.001160946,0.6317805,1.962192,1.360522,1.140642,0,171.9655,23.83823,9.299742,65.55686,"1"
1100517,17,9,8,0.001746731,1,0.001062953,0.001230418,0.000637691,0.4845535,1.71856,1.419624,1.157547,0,198.0931,27.45415,7.483483,38.26631,"1"
216380,15,6,9,0.003791855,-1,0.002267292,0.002633656,0.001383919,0.4107967,1.683495,1.439768,1.161587,0,38.9484,22.62741,8.863288,72.55335,"1"
1081174,16,7,9,0.003945326,1,0.002306834,0.002698251,0.001442747,0.3760725,1.690641,1.462179,1.169677,0,194.6113,23.75999,8.815323,78.43236,"1"
1265424,16,7,9,0.004798536,1,0.002841831,0.003308748,0.001746797,0.3881274,1.693252,1.450257,1.164301,0,227.7763,23.77143,8.692495,96.62225,"1"
1193408,16,7,9,0.003713046,1,0.002201087,0.002575894,0.001379257,0.4226638,1.722601,1.441459,1.170283,0,214.8134,24.10908,9.667153,74.83696,"1"
1245807,16,7,9,0.002659742,1,0.001659695,0.001896303,0.000945496,0.5031755,1.752489,1.402593,1.142561,0,224.2453,24.56475,8.211805,56.42963,"1"
1270110,16,7,9,0.004079797,1,0.002483036,0.002816149,0.00136951,0.3996101,1.77661,1.448715,1.134156,0,228.6198,24.72252,7.497562,84.42321,"1"
208155,16,7,9,0.002886642,-1,0.001761921,0.002016023,0.001009942,0.4794889,1.805321,1.43185,1.144219,0,37.4679,24.92726,8.060585,59.90531,"1"
270969,17,8,9,0.00225732,-1,0.001385572,0.001587256,0.00079677,0.446206,1.736921,1.422152,1.145561,0,48.77442,26.68282,6.896208,49.88059,"1"
392971,15,5,10,0.009218563,-1,0.005567336,0.006406401,0.003273612,0.3748438,1.730983,1.438961,1.150712,0,70.73478,22.83564,8.092697,178.1547,"1"
982331,15,5,10,0.003622742,1,0.002191524,0.002502085,0.001246929,0.3874114,1.810085,1.447889,1.14171,0,176.8196,23.46175,8.074471,70.12875,"1"
134794,16,6,10,0.01041674,-1,0.005836212,0.006939374,0.003869675,0.296433,1.605309,1.501107,1.18902,0,24.26292,24.34893,9.490609,198.4312,"1"
1294663,16,6,10,0.005740932,1,0.003441513,0.003984805,0.002070465,0.3861279,1.67698,1.440706,1.157864,0,233.0393,24.42695,8.278681,117.0115,"1"
1057498,16,6,10,0.003305266,1,0.002105367,0.002380725,0.001145638,0.5654987,1.947118,1.388345,1.130789,0,190.3496,25.92242,7.701061,71.58247,"1"
1177632,17,7,10,0.003248384,1,0.001946378,0.002220658,0.001100074,0.2762789,1.752306,1.462803,1.140918,0,211.9738,27.79718,6.462187,70.06962,"1"
